[06:30:17] [INFO] received Windows console close event; shutting log-core down
[11:02:45] [INFO] received Windows console close event; shutting log-core down
[11:38:25] [INFO] received Windows console close event; shutting log-core down
[12:42:08] [INFO] received Windows console close event; shutting log-core down
[13:17:39] [INFO] received Windows console close event; shutting log-core down
[14:14:02] [INFO] received Windows console close event; shutting log-core down
[14:19:59] [INFO] received Windows console close event; shutting log-core down
[14:32:03] [INFO] received Windows console close event; shutting log-core down
[14:38:22] [INFO] received Windows console close event; shutting log-core down
[14:47:04] [INFO] received Windows console close event; shutting log-core down
[02:10:24] [INFO] received Windows console close event; shutting log-core down
[02:23:58] [INFO] received Windows console close event; shutting log-core down
[02:32:32] [INFO] received Windows console close event; shutting log-core down
[02:58:43] [INFO] received Windows console close event; shutting log-core down
[03:47:01] [INFO] received Windows console close event; shutting log-core down
[04:49:51] [INFO] received Windows console close event; shutting log-core down
[05:20:56] [INFO] received Windows console close event; shutting log-core down
[05:59:00] [INFO] received Windows console close event; shutting log-core down
[07:20:53] [INFO] received Windows console close event; shutting log-core down
[08:21:23] [INFO] received Windows console close event; shutting log-core down
[08:50:05] [INFO] received Windows console close event; shutting log-core down
[09:32:06] [INFO] received Windows console close event; shutting log-core down
[01:42:28] [INFO] received Windows console close event; shutting log-core down
[01:42:43] [INFO] received Windows console close event; shutting log-core down
[01:46:29] [INFO] received Windows console close event; shutting log-core down
[02:03:02] [INFO] received Windows console close event; shutting log-core down
[02:50:45] [INFO] received Windows console close event; shutting log-core down
[05:08:16] [INFO] received Windows console close event; shutting log-core down
[05:20:28] [INFO] received Windows console close event; shutting log-core down
[06:21:46] [INFO] received Windows console close event; shutting log-core down
[06:38:45] [INFO] received Windows console close event; shutting log-core down
[06:54:05] [INFO] received Windows console close event; shutting log-core down
[06:54:09] [INFO] received Windows console close event; shutting log-core down
[07:22:49] [INFO] received Windows console close event; shutting log-core down
[07:25:27] [INFO] received Windows console close event; shutting log-core down
[07:27:33] [INFO] received Windows console close event; shutting log-core down
[07:32:56] [INFO] received Windows console close event; shutting log-core down
[07:51:59] [INFO] received Windows console close event; shutting log-core down
[09:03:42] [INFO] received Windows console close event; shutting log-core down
[13:16:57] [INFO] received Windows console close event; shutting log-core down
[14:09:46] [INFO] received Windows console close event; shutting log-core down
[14:23:16] [INFO] received Windows console close event; shutting log-core down
[12:14:07] [INFO] received Windows console close event; shutting log-core down
[13:01:00] [INFO] received Windows console close event; shutting log-core down
[13:13:58] [INFO] received Windows console close event; shutting log-core down
[02:07:03] [INFO] received Windows console close event; shutting log-core down
[03:11:49] [INFO] received Windows console close event; shutting log-core down
[07:19:45] [INFO] received Windows console close event; shutting log-core down
[07:30:49] [INFO] received Windows console close event; shutting log-core down
[07:37:32] [INFO] received Windows console close event; shutting log-core down
[07:50:51] [INFO] received Windows console close event; shutting log-core down
[07:54:52] [INFO] received Windows console close event; shutting log-core down
[07:56:23] [INFO] received Windows console close event; shutting log-core down
[08:02:31] [INFO] received Windows console close event; shutting log-core down
[08:20:45] [INFO] received Windows console close event; shutting log-core down
[08:29:28] [INFO] received Windows console close event; shutting log-core down
[08:37:41] [INFO] received Windows console close event; shutting log-core down
[08:40:08] [INFO] received Windows console close event; shutting log-core down
[08:54:02] [INFO] received Windows console close event; shutting log-core down
[09:11:28] [INFO] received Windows console close event; shutting log-core down
[09:22:02] [INFO] received Windows console close event; shutting log-core down
[09:22:09] [INFO] received Windows console close event; shutting log-core down
[12:57:30] [INFO] received Windows console close event; shutting log-core down
[13:00:31] [INFO] received Windows console close event; shutting log-core down
[13:05:02] [INFO] received Windows console close event; shutting log-core down
[13:09:56] [INFO] received Windows console close event; shutting log-core down
[13:17:33] [INFO] received Windows console close event; shutting log-core down
[13:30:52] [INFO] received Windows console close event; shutting log-core down
[13:41:19] [INFO] received Windows console close event; shutting log-core down
[13:48:45] [INFO] received Windows console close event; shutting log-core down
[14:13:04] [INFO] received Windows console close event; shutting log-core down
[03:54:21] [INFO] received Windows console close event; shutting log-core down
[03:56:05] [INFO] received Windows console close event; shutting log-core down
[03:58:24] [INFO] received Windows console close event; shutting log-core down
[04:05:05] [INFO] received Windows console close event; shutting log-core down
[05:49:35] [INFO] received Windows console close event; shutting log-core down
[06:20:28] [INFO] received Windows console close event; shutting log-core down
[12:11:51] [INFO] received Windows console close event; shutting log-core down
[12:37:15] [INFO] received Windows console close event; shutting log-core down
[12:41:38] [INFO] received Windows console close event; shutting log-core down
[14:43:40] [INFO] received Windows console close event; shutting log-core down
[00:56:01] [INFO] received Windows console close event; shutting log-core down
[01:01:05] [INFO] received Windows console close event; shutting log-core down
[01:25:18] [INFO] received Windows console close event; shutting log-core down
[01:59:14] [INFO] received Windows console close event; shutting log-core down
[19:03:08] [INFO] received Windows console close event; shutting log-core down
[19:28:46] [INFO] received Windows console close event; shutting log-core down
[07:04:22] [INFO] received Windows console close event; shutting log-core down
[08:13:02] [INFO] received Windows console close event; shutting log-core down
[11:33:14] [INFO] received Windows console close event; shutting log-core down
[12:38:27] [INFO] received Windows console close event; shutting log-core down
[15:22:06] [INFO] received Windows console close event; shutting log-core down
[15:34:12] [INFO] received Windows console close event; shutting log-core down
[02:19:12] [INFO] received Windows console close event; shutting log-core down
[02:21:19] [INFO] received Windows console close event; shutting log-core down
[02:27:36] [INFO] received Windows console close event; shutting log-core down
[02:36:21] [INFO] received Windows console close event; shutting log-core down
[02:50:55] [INFO] received Windows console close event; shutting log-core down
[02:51:54] [INFO] received Windows console close event; shutting log-core down
[18:46:06] [INFO] received Windows console close event; shutting log-core down
[13:40:59] [INFO] received Windows console close event; shutting log-core down
[12:41:27] [INFO] received Windows console close event; shutting log-core down
[08:10:00] [INFO] received Windows console close event; shutting log-core down
[06:21:50] [INFO] received Windows console close event; shutting log-core down
[07:07:40] [INFO] received Windows console close event; shutting log-core down
[07:08:47] [INFO] received Windows console close event; shutting log-core down
[07:09:39] [INFO] received Windows console close event; shutting log-core down
[07:10:13] [INFO] received Windows console close event; shutting log-core down
[07:11:07] [INFO] received Windows console close event; shutting log-core down
[07:11:17] [INFO] received Windows console close event; shutting log-core down
[07:19:32] [INFO] received Windows console close event; shutting log-core down
[08:15:37] [INFO] received Windows console close event; shutting log-core down
[08:24:18] [INFO] received Windows console close event; shutting log-core down
[08:41:01] [INFO] received Windows console close event; shutting log-core down
[08:55:17] [INFO] received Windows console close event; shutting log-core down
[09:01:29] [INFO] received Windows console close event; shutting log-core down
[09:06:28] [INFO] received Windows console close event; shutting log-core down
[10:50:16] [INFO] received Windows console close event; shutting log-core down
[12:24:33] [INFO] received Windows console close event; shutting log-core down
[06:43:57] [INFO] received Windows console close event; shutting log-core down
[07:45:24] [INFO] received Windows console close event; shutting log-core down
[09:49:32] [INFO] received Windows console close event; shutting log-core down
